partnership_id,Institution,Provider,invisibility,start_month,start_year,term_primary_contract,last_start_date,end_date_last_contract
66,University of California-Berkeley,2U,1,1,2013,15,2013,2029
67,University of California-Berkeley,EdX,2,5,2013,888,2013,888
68,University of California Los Angeles,Trilogy,2,1,2016,3,2018,2021
69,University of Central Florida,Guild,2,4,2019,2,2019,2021
70,University of Cincinnati,Academic Partnerships,0,11,2012,5,2015,2020
71,University of Cincinnati,Compass Knowledge-Pearson,1,1,2007,7,2015,2022
72,University of Connecticut,Saba,-999,11,2015,3,2018,2021
73,University of Connecticut,Alivetek,0,9,2020,3,2020,2023
74,University of Connecticut,EverFi,1,8,2018,3,2018,2021
75,University of Connecticut,Trilogy,2,1,2019,3,2019,2022
76,University of Florida,All Campus,0,1,2013,4,2015,2020
77,University of Florida,Apollidon,1,4,2008,5,2016,2021
78,University of Florida,Coursera,2,7,2012,888,2012,888
79,University of Idaho,Blackboard,-999,12,2008,3,2018,2022
80,University of Idaho,Instructure,-999,,2021,2,2021,2023
81,University of Illinois,Blackboard,-999,8,2018,10,2018,2021
82,University of Illinois,Pearson/ EmbanetCompass,1,12,2007,10,2015,2022
83,University of Illinois,Coursera,2,3,2016,2,2018,2020
84,University of Kansas,Trilogy,2,1,2017,3,2017,2020
85,University of Kansas,Everspring,1,4,2013,10,2013,2023
86,University of Massachussetts,Pearson/ EmbanetCompass,0,8,2013,3,2017,2020
87,University of Massachussetts,GetEducated.com,0,1,2019,0.6,2019,2020
88,University of Michigan,Noodle Partners,1,9,2019,3,2019,2022
89,University of Michigan,Coursera,2,4,2012,5,2021,2026
90,University of Montana,Zoom,2,8,2018,3,2019,2021
91,University of Montana,Wiley,2,5,2020,7,2020,2027
92,University of Nebraska,iDesignEDU,0,4,2017,7,2017,2024
93,University of Nevada Reno,Pearson/ EmbanetCompass,2,7,2008,3,2019,2020
94,University of New Mexico,Instructure,-999,3,2021,7,2028,
95,University of North Carolina at Chapel Hill,Time,-999,12,2016,5,2016,2022
96,University of North Carolina at Chapel Hill,Coursera,2,1,2015,10,2015,2025
97,University of North Carolina at Chapel Hill,2U,1,11,2010,10,2020,2030
98,University of North Carolina Wilmington,Academic Partnerships,1,2,2013,10,2013,2023
99,University of North Dakota,Career Step,0,7,2018,2,2018,2020
100,University of North Dakota,Institute for Graduate Studies,0,8,2021,1,2022,2023
101,University of North Dakota,Taxila Education Group Limited,0,7,2021,2,2021,2023
102,University of North Dakota,The Center for Legal Studies,2,1,2021,1,2022,2023
103,University of North Dakota,The Learning Factory LLC,0,1,2022,2,2022,2024
104,University of North Dakota,Public Consulting Group,1,7,2018,2,2022,2024
105,University of North Dakota,Hoonuit,2,11,2018,2,2018,2020
106,University of North Dakota,The CE Shop,2,7,2018,2,2020,2022
107,University of North Dakota,Professional Development Institute,2,3,2016,3,2021,2023
108,University of North Dakota,Continuing Education Associates,2,4,2016,3,2021,2023
109,University of North Dakota,Kaplan,2,12,2017,3,2020,2023
110,University of North Dakota,Infobase,2,7,2021,2,2021,2023
111,University of North Dakota,Promineo Tech,2,4,2021,2,2021,2023
112,University of North Dakota,"Virtual Education Software, Inc (VESi)",2,7,2018,2,2022,2024
113,University of North Dakota,Digital Learning Tree,2,7,2018,2,2022,2024
114,University of North Dakota,"Ed2Go/Cengage Learning, Inc",2,8,2014,888,2022,2024
115,University of North Dakota,"ED Technology Specialists, Inc.",2,5,2022,2,2022,2024
116,University of North Dakota,Pearson,2,3,2018,10,2022,2032
117,University of North Dakota,Protrain,2,9,2013,888,2021,888
